text,place,place_num,area,area_num,latlon
(Ε)πήρε βάγια,"{'Λακωνία', 'Ήπειρος'}",2,"{'Λακωνία', 'Ήπειρος'}",2,"[(36.76027945, 22.79046431389755), (39.6501917, 20.690845557013784)]"
"Άβολος ο νους, διπλός ο κόπος","{'Μικρά Ασία>Τσεσμές (Κρήνη)', 'Νίσυρος'}",2,"{'Μικρά Ασία', 'Νίσυρος'}",2,"[(38.1846366, 23.5122768), (36.58904575, 27.169184022557516)]"
Άβουλος νους διπλός κόπος,"{'Θράκη>Αίνος', 'Θήρα (Σαντορίνη)'}",2,"{'Θήρα (Σαντορίνη)', 'Θράκη'}",2,"[(36.4071112, 25.456663652707153), (38.0105134, 23.7327576)]"
"Άβουλος νους, διπλός ο κόπος","{'Κρήτη', 'Αμοργός', 'Ρόδος'}",3,"{'Κρήτη', 'Αμοργός', 'Ρόδος'}",3,"[(35.308495199999996, 24.46334231842296), (36.85252415, 25.898486967715655), (36.172529749999995, 27.91940163839584)]"
Άβουλος ο νους διπλός ο κόπος,"{'Θράκη', 'Θράκη>Μάδυτος', 'Ήπειρος>Τσαμαντάς', 'Σάμος>Μαραθόκαμπος', 'Ρόδος'}",5,"{'Ρόδος', 'Σάμος', 'Ήπειρος', 'Θράκη'}",4,"[(36.172529749999995, 27.91940163839584), (37.72461615, 26.81929189110984), (39.6501917, 20.690845557013784), (38.0105134, 23.7327576)]"
"Άβουλος ο νους, διπλός ο κόπος","{'Ήπειρος', 'Άνδρος', 'Θεσπρωτία>Παραμυθιά', 'Επτάνησος'}",4,"{'Θεσπρωτία', 'Άνδρος', 'Ήπειρος', 'Επτάνησος'}",4,"[(39.54401235, 20.308355368968883), (37.8408347, 24.86238235981581), (39.6501917, 20.690845557013784), (38.8351105, 20.7094392)]"
Άγιασε ο μαχαιροβγάλτης και πουλεί σκουρολεπίδες,"{'Κεφαλληνία', 'Ήπειρος'}",2,"{'Κεφαλληνία', 'Ήπειρος'}",2,"[(38.2660322, 20.53739027630735), (39.6501917, 20.690845557013784)]"
Άγνεστα κι' ανύφαντα στην τέμπλα κρεμασμένα,"{'Αρκαδία>Γορτυνία', 'Θεσσαλία'}",2,"{'Θεσσαλία', 'Αρκαδία'}",2,"[(39.5564697, 21.6905283), (37.42908855, 22.423541964571157)]"
Άδειασέ μας τη γωνιά,"{'Κεφαλληνία', 'Κρήτη>Σητεία'}",2,"{'Κρήτη', 'Κεφαλληνία'}",2,"[(35.308495199999996, 24.46334231842296), (38.2660322, 20.53739027630735)]"
Άδειασέ μου τη γωνιά,"{'Αδριανούπολη', 'Αρκαδία>Γορτυνία', 'Άνδρος'}",3,"{'Αδριανούπολη', 'Άνδρος', 'Αρκαδία'}",3,"[(41.7111279, 26.3579609), (37.8408347, 24.86238235981581), (37.42908855, 22.423541964571157)]"
Άδηλα και κρύφια,"{'Λακωνία', 'Κρήτη', 'Αμοργός', 'Ήπειρος'}",4,"{'Λακωνία', 'Κρήτη', 'Αμοργός', 'Ήπειρος'}",4,"[(36.76027945, 22.79046431389755), (35.308495199999996, 24.46334231842296), (36.85252415, 25.898486967715655), (39.6501917, 20.690845557013784)]"
Άδηλα κι κρύφια,"{'Ιωάννινα>Νεγάδες', 'Επτάνησος'}",2,"{'Ιωάννινα', 'Επτάνησος'}",2,"[(39.6639818, 20.8522784), (38.8351105, 20.7094392)]"
Άδουλος δουλειά δεν έχει το βρακί του λεί και δενει,"{'Κεφαλληνία', 'Λακωνία>Σπάρτη', 'Αρκαδία>Δημητσάνα'}",3,"{'Λακωνία', 'Κεφαλληνία', 'Αρκαδία'}",3,"[(36.76027945, 22.79046431389755), (38.2660322, 20.53739027630735), (37.42908855, 22.423541964571157)]"
Άζωστος τρέχει ο γείτονας κι ο συγγενής ζωσμένος,"{'Θράκη>Σουφλί', 'Κρήτη>Ιεράπετρα>Βαϊνιά'}",2,"{'Κρήτη', 'Θράκη'}",2,"[(35.308495199999996, 24.46334231842296), (38.0105134, 23.7327576)]"
Άθρωπος αγράμματος ξύλο απελέκητο,"{'Λέρος', 'Κρήτη>Ρέθυμνο>Μαλλάκι', 'Θράκη>Σαράντα Εκκλησίες'}",3,"{'Λέρος', 'Κρήτη', 'Θράκη'}",3,"[(37.9933789, 23.5389128), (35.308495199999996, 24.46334231842296), (38.0105134, 23.7327576)]"
Άθρωπος αθρώπου μοιάζει,"{'Σκύρος', 'Ρόδος'}",2,"{'Σκύρος', 'Ρόδος'}",2,"[(38.87304355, 24.524477385184017), (36.172529749999995, 27.91940163839584)]"
"Άκληρος, άθεος","{'Μεσσηνία>Πύλος>Κορώνη', 'Αργολίδα>Σχοινοχώρι', 'Αχαΐα>Πάτρα'}",3,"{'Μεσσηνία', 'Αργολίδα', 'Αχαΐα'}",3,"[(36.70694815, 22.122363134012744), (37.56626615, 22.85593894780862), (38.0692748, 21.87273042232539)]"
Άκουροι και κουρεμμένοι ήταν όλοι μαζωμένοι,"{'Λακωνία', 'Θεσσαλία'}",2,"{'Λακωνία', 'Θεσσαλία'}",2,"[(36.76027945, 22.79046431389755), (39.5564697, 21.6905283)]"
Άκρες λείπες,"{'Κορινθία>Καρυά', 'Αρκαδία>Γορτυνία>Λάστα', 'Αρκαδία>Δημητσάνα'}",3,"{'Κορινθία', 'Αρκαδία'}",2,"[(37.96299085, 22.733342367236247), (37.42908855, 22.423541964571157)]"
Άκρες μέσες,"{'Ανατολική Θράκη', 'Θράκη>Σαράντα Εκκλησίες', 'Χίος', 'Λακωνία', 'Σύμη'}",5,"{'Ανατολική Θράκη', 'Χίος', 'Λακωνία', 'Θράκη', 'Σύμη'}",5,"[(41.6759327, 26.5587225), (38.37581315, 26.064655246170453), (36.76027945, 22.79046431389755), (38.0105134, 23.7327576), (36.590401099999994, 27.841197470271265)]"
Άλαλα τα χείλη των ασέβων,"{'Λακωνία', 'Σκύρος'}",2,"{'Λακωνία', 'Σκύρος'}",2,"[(36.76027945, 22.79046431389755), (38.87304355, 24.524477385184017)]"
Άλας κι ψωμί φάγαμι,"{'Δαρδανέλλια (Ελλήσποντος)', 'Θράκη>Μάδυτος'}",2,"{'Δαρδανέλλια (Ελλήσποντος)', 'Θράκη'}",2,"[(40.20917255, 26.44139082761628), (38.0105134, 23.7327576)]"
Άλλ' αντ' άλλων,"{'Ήπειρος', 'Επτάνησος'}",2,"{'Ήπειρος', 'Επτάνησος'}",2,"[(39.6501917, 20.690845557013784), (38.8351105, 20.7094392)]"
Άλλα 'ν'  τα μάτια του λαγού κι' άλλα της κουκουβάιας,"{'Μικρά Ασία>Κύζικος>Μηχανιώνα', 'Χίος>Νένητα', 'Ήπειρος'}",3,"{'Μικρά Ασία', 'Ήπειρος', 'Χίος'}",3,"[(38.1846366, 23.5122768), (39.6501917, 20.690845557013784), (38.37581315, 26.064655246170453)]"
Άλλα 'ν' τα μάτια του λαγού κι άλλα της κουκουβάγιας,"{'Μικρά Ασία>Βιθυνία>Τρίγλεια', 'Μικρά Ασία>Σινώπη', 'Ήπειρος>Λοζέτσι', 'Μικρά Ασία>Βιθυνία>Σιγή'}",4,"{'Μικρά Ασία', 'Ήπειρος'}",2,"[(38.1846366, 23.5122768), (39.6501917, 20.690845557013784)]"
Άλλα 'ν' τα μάτια του λαγού κι' άλλα της κουκουβάγιας,"{'Σίφνος', 'Αχαΐα>Πάτρα'}",2,"{'Σίφνος', 'Αχαΐα'}",2,"[(36.9714014, 24.708110417765855), (38.0692748, 21.87273042232539)]"
Άλλα 'ν' τα μάτια του λαγού κι' άλλα της κουκουβάιας,"{'Πήλιο>Ζαγορά', 'Μακεδονία>Βογατσικό', 'Μικρά Ασία>Λιβίσσι (Λειβίσσι)', 'Κύπρος', 'Αχαΐα>Καλάβρυτα', 'Θράκη', 'Δαρδανέλλια (Ελλήσποντος)', 'Μακεδονία>Σισάνι>Λιμπόχοβο', 'Μικρά Ασία>Κύζικος', 'Θράκη>Μάδυτος', 'Κεφαλληνία', 'Εύβοια>Κύμη', 'Μικρά Ασία>Βιθυνία>Κατιρλί', 'Αχαΐα>Πάτρα', 'Μακεδονία'}",15,"{'Πήλιο', 'Κύπρος', 'Θράκη', 'Μικρά Ασία', 'Δαρδανέλλια (Ελλήσποντος)', 'Μακεδονία', 'Εύβοια', 'Κεφαλληνία', 'Αχαΐα'}",9,"[(39.3650875, 23.1355607), (34.9174159, 32.889902651331866), (38.0105134, 23.7327576), (38.1846366, 23.5122768), (40.20917255, 26.44139082761628), (40.6186482, 22.91795361795959), (38.49417235, 23.91108439913793), (38.2660322, 20.53739027630735), (38.0692748, 21.87273042232539)]"
Άλλα έχει στα χείλη κι' άλλα στην καρδιά,"{'Μικρά Ασία>Βιθυνία>Κατιρλί', 'Κεφαλληνία'}",2,"{'Μικρά Ασία', 'Κεφαλληνία'}",2,"[(38.1846366, 23.5122768), (38.2660322, 20.53739027630735)]"
Άλλα είν' τα μάτια του λαγού κι άλλα της κουκουβάγιας,"{'Κέρκυρα', 'Βόρειος Ήπειρος'}",2,"{'Κέρκυρα', 'Βόρειος Ήπειρος'}",2,"[(39.591337, 19.859618918733855), (39.49035545, 20.257136809996837)]"
Άλλα λέ η λύρα μου κι' άλλα ο λυριστής μου,"{'Κάρπαθος', 'Μικρά Ασία>Λιβίσσι (Λειβίσσι)'}",2,"{'Κάρπαθος', 'Μικρά Ασία'}",2,"[(35.6136611, 27.11925668821135), (38.1846366, 23.5122768)]"
Άλλα λέ' η λύρα μας κι' άλλα η τσαμπούνα μας,"{'Κάρπαθος', 'Κως'}",2,"{'Κάρπαθος', 'Κως'}",2,"[(35.6136611, 27.11925668821135), (36.79369325, 27.084826562878217)]"
Άλλα λέει παπάς κι άλλα παπαδιά,"{'Αδριανούπολη', 'Θράκη>Αυδήμιο'}",2,"{'Αδριανούπολη', 'Θράκη'}",2,"[(41.7111279, 26.3579609), (38.0105134, 23.7327576)]"
Άλλα λογαριάζει ο γάϊδαρος κι' άλλα ο γαϊδουριάρης,"{'Θράκη', 'Αιτωλία', 'Μεσσηνία>Καλαμάτα', 'Μικρά Ασία>Βιθυνία>Κατιρλί', 'Κεφαλληνία'}",5,"{'Θράκη', 'Μικρά Ασία', 'Μεσσηνία', 'Αιτωλία', 'Κεφαλληνία'}",5,"[(38.0105134, 23.7327576), (38.1846366, 23.5122768), (36.70694815, 22.122363134012744), (37.4204248, 24.9479564), (38.2660322, 20.53739027630735)]"
Άλλα λογαριάζει ο γάϊδαρος κι' άλλα ο γαϊδουρολάτης,"{'Κρήτη', 'Κεφαλληνία', 'Ημαθία>Βασσαράς'}",3,"{'Κρήτη', 'Ημαθία', 'Κεφαλληνία'}",3,"[(35.308495199999996, 24.46334231842296), (40.65453325, 22.13931950431656), (38.2660322, 20.53739027630735)]"
Άλλα μελετούν τa βότζια κι άλλα κάμνει ο ζευγάς,"{'Κάλυμνος', 'Ρόδος'}",2,"{'Κάλυμνος', 'Ρόδος'}",2,"[(37.0025735, 26.992307153388214), (36.172529749999995, 27.91940163839584)]"
Άλλα σκαμπάζει ο γάϊδαρος κι' άλλα ο γαϊδουρολάτης,"{'Αρκαδία>Γορτυνία', 'Εύβοια'}",2,"{'Αρκαδία', 'Εύβοια'}",2,"[(37.42908855, 22.423541964571157), (38.49417235, 23.91108439913793)]"
Άλλα τα μάτια του λαγού κι άλλα της κουκουβάγιας,"{'Θράκη>Αυδήμιο', 'Αρκαδία>Κυνουρία>Θυρέα', 'Ιωάννινα>Μέγα Περιστέρι', 'Θεσπρωτία>Κωστάνα', 'Αρκαδία>Γορτυνία>Σέρβος', 'Κοζάνη>Κοντοβούνι'}",6,"{'Αρκαδία', 'Θράκη', 'Θεσπρωτία', 'Ιωάννινα', 'Κοζάνη'}",5,"[(37.42908855, 22.423541964571157), (38.0105134, 23.7327576), (39.54401235, 20.308355368968883), (39.6639818, 20.8522784), (40.3007259, 21.7883119)]"
Άλλα τα μάτια του λαγού κι' άλλα της κουκουβάγιας,"{'Ανατολική Θράκη', 'Ιθάκη>Ανωγή', 'Ρούμελη', 'Αδριανούπολη', 'Μάνη', 'Κεφαλληνία'}",6,"{'Ανατολική Θράκη', 'Ιθάκη', 'Ρούμελη', 'Αδριανούπολη', 'Μάνη', 'Κεφαλληνία'}",6,"[(41.6759327, 26.5587225), (38.401896050000005, 20.670092887359495), (35.5099769, 24.0313692), (41.7111279, 26.3579609), (41.4097472, 26.4024952), (38.2660322, 20.53739027630735)]"
"Άλλα τα μάτια του λαγού, κι άλλα της κουκουβάγιας","{'Λέρος', 'Αδριανούπολη'}",2,"{'Λέρος', 'Αδριανούπολη'}",2,"[(37.9933789, 23.5389128), (41.7111279, 26.3579609)]"
Άλλα των άλλων,"{'Ανατολική Θράκη', 'Αμοργός'}",2,"{'Ανατολική Θράκη', 'Αμοργός'}",2,"[(41.6759327, 26.5587225), (36.85252415, 25.898486967715655)]"
"Άλλαι μεν βουλαί ανθρώπων, άλλα δε Θεός κελεύει","{'Θράκη', 'Λακωνία', 'Επτάνησος', 'Αχαΐα>Πάτρα', 'Ήπειρος'}",5,"{'Θράκη', 'Λακωνία', 'Ήπειρος', 'Επτάνησος', 'Αχαΐα'}",5,"[(38.0105134, 23.7327576), (36.76027945, 22.79046431389755), (39.6501917, 20.690845557013784), (38.8351105, 20.7094392), (38.0692748, 21.87273042232539)]"
"Άλλαι μεν βουλαί ανθρώπων, άλλα δε θεός κελεύει","{'Ήπειρος>Τσαμαντάς', 'Επτάνησος', 'Αμοργός', 'Μακεδονία', 'Ιωάννινα>Νεγάδες'}",5,"{'Ιωάννινα', 'Μακεδονία', 'Επτάνησος', 'Αμοργός', 'Ήπειρος'}",5,"[(39.6639818, 20.8522784), (40.6186482, 22.91795361795959), (38.8351105, 20.7094392), (36.85252415, 25.898486967715655), (39.6501917, 20.690845557013784)]"
Άλλαξε η πάπια κ' έβαλε τα σάπια,"{'Ανατολική Θράκη', 'Μικρά Ασία>Κύζικος>Αρτάκη'}",2,"{'Μικρά Ασία', 'Ανατολική Θράκη'}",2,"[(38.1846366, 23.5122768), (41.6759327, 26.5587225)]"
Άλλαξε ο Μανωλιός κ' έβαλε τα ρουχ' αλλιώς,"{'Μεσσηνία', 'Θράκη>Σαράντα Εκκλησίες'}",2,"{'Μεσσηνία', 'Θράκη'}",2,"[(36.70694815, 22.122363134012744), (38.0105134, 23.7327576)]"
Άλλαξε το φύλλο,"{'Μακεδονία>Βογατσικό', 'Θράκη>Πετροχώρι Μετρών'}",2,"{'Μακεδονία', 'Θράκη'}",2,"[(40.6186482, 22.91795361795959), (38.0105134, 23.7327576)]"
Άλλο Μέτσοβο χωριό,"{'Ήπειρος>Δρόβιανη', 'Ήπειρος', 'Θεσπρωτία>Παραμυθιά'}",3,"{'Θεσπρωτία', 'Ήπειρος'}",2,"[(39.54401235, 20.308355368968883), (39.6501917, 20.690845557013784)]"
Άλλο να δης κι άλλο ν' ακούσης,"{'Κάρπαθος', 'Αμοργός', 'Χίος'}",3,"{'Κάρπαθος', 'Αμοργός', 'Χίος'}",3,"[(35.6136611, 27.11925668821135), (36.85252415, 25.898486967715655), (38.37581315, 26.064655246170453)]"
Άλλο να το ιδής κι άλλο να τ' ακούσης,"{'Σίφνος', 'Κεφαλληνία'}",2,"{'Σίφνος', 'Κεφαλληνία'}",2,"[(36.9714014, 24.708110417765855), (38.2660322, 20.53739027630735)]"
Άλλοι σκάβουν και κλαδεύουν κι' άλλοι πίνουν και μεθάνε,"{'Μακεδονία>Βογατσικό', 'Αχαΐα>Πάτρα', 'Κεφαλληνία'}",3,"{'Αχαΐα', 'Κεφαλληνία', 'Μακεδονία'}",3,"[(38.0692748, 21.87273042232539), (38.2660322, 20.53739027630735), (40.6186482, 22.91795361795959)]"
Άλλοι σκάφτουν κ' κλαδεύουν κ' άλλοι πίνουν κ' χορεύουν,"{'Αρκαδία>Γορτυνία', 'Μεσσηνία'}",2,"{'Μεσσηνία', 'Αρκαδία'}",2,"[(36.70694815, 22.122363134012744), (37.42908855, 22.423541964571157)]"
Άλλοι σκάφτουν και κλαδεύουν κι' άλλοι πίνουν και μεθούν,"{'Μακεδονία>Βογατσικό', 'Ημαθία>Βέροια', 'Αθήνα', 'Θεσπρωτία>Παραμυθιά'}",4,"{'Ημαθία', 'Αθήνα', 'Μακεδονία', 'Θεσπρωτία'}",4,"[(40.65453325, 22.13931950431656), (37.9755648, 23.7348324), (40.6186482, 22.91795361795959), (39.54401235, 20.308355368968883)]"
Άλλοι σκάφτουν και τρυγούν κι' άλλοι πίνουν κί μεθούν,"{'Αδριανούπολη', 'Μακεδονία>Γρεβενά>Ανασελίτσα'}",2,"{'Αδριανούπολη', 'Μακεδονία'}",2,"[(41.7111279, 26.3579609), (40.6186482, 22.91795361795959)]"
Άλλοι σπέρνουν και θερίζουν κι άλλοι τρων και μακαρίζουν,"{'Ήπειρος', 'Κρήτη>Μεραμβέλλο>Βουλισμένη'}",2,"{'Κρήτη', 'Ήπειρος'}",2,"[(35.308495199999996, 24.46334231842296), (39.6501917, 20.690845557013784)]"
Άλλοι σπέρνουν και θερίζουν κι' άλλοι τρων και μαγαρίζουν,"{'Αδριανούπολη', 'Αρκαδία>Γορτυνία', 'Ρόδος'}",3,"{'Αδριανούπολη', 'Αρκαδία', 'Ρόδος'}",3,"[(41.7111279, 26.3579609), (37.42908855, 22.423541964571157), (36.172529749999995, 27.91940163839584)]"
Άλλοι σπέρνουν και θερίζουν κι' άλλοι τρων και μακαρίζουν,"{'Κρήτη', 'Αμοργός'}",2,"{'Κρήτη', 'Αμοργός'}",2,"[(35.308495199999996, 24.46334231842296), (36.85252415, 25.898486967715655)]"
Άλλοι ψυχομαχάνε κι' άλλοι καυλομαχάνε,"{'Αρκαδία>Γορτυνία', 'Αχαΐα>Πάτρα'}",2,"{'Αχαΐα', 'Αρκαδία'}",2,"[(38.0692748, 21.87273042232539), (37.42908855, 22.423541964571157)]"
Άλλοι ψυχομαχούν κι' άλλοι καυλομαχούν,"{'Κύπρος', 'Μικρά Ασία>Χιλή'}",2,"{'Μικρά Ασία', 'Κύπρος'}",2,"[(38.1846366, 23.5122768), (34.9174159, 32.889902651331866)]"
Άλλος έκαιε τα γένεια κι άλλος έλεγε στάκα ν' ανάψω το τσιγάρο μου,"{'Λακωνία', 'Ήπειρος'}",2,"{'Λακωνία', 'Ήπειρος'}",2,"[(36.76027945, 22.79046431389755), (39.6501917, 20.690845557013784)]"
Άλλος έφαγε τα σύκα κι άλλος τα πληρώνει,"{'Λακωνία', 'Μεσσηνία'}",2,"{'Λακωνία', 'Μεσσηνία'}",2,"[(36.76027945, 22.79046431389755), (36.70694815, 22.122363134012744)]"
Άλλος έφαγε τα σύκα κι' άλλος τα πλερώνει,"{'Μεσσηνία', 'Αχαΐα>Πάτρα'}",2,"{'Μεσσηνία', 'Αχαΐα'}",2,"[(36.70694815, 22.122363134012744), (38.0692748, 21.87273042232539)]"
Άλλος έχασκε κι άλλος εμετάλαβε,"{'Κρήτη>Ρέθυμνο>Μαλλάκι', 'Ήπειρος', 'Κρήτη>Βιάννος'}",3,"{'Κρήτη', 'Ήπειρος'}",2,"[(35.308495199999996, 24.46334231842296), (39.6501917, 20.690845557013784)]"
Άλλος έχασκε κι' άλλος εμετάλαβε,"{'Αχαΐα>Πάτρα', 'Κύπρος>Κοίλη', 'Ιθάκη>Ανωγή', 'Επτάνησος', 'Μεσσηνία>Αβία>Κάμπος', 'Κεφαλληνία'}",6,"{'Κύπρος', 'Ιθάκη', 'Μεσσηνία', 'Επτάνησος', 'Κεφαλληνία', 'Αχαΐα'}",6,"[(34.9174159, 32.889902651331866), (38.401896050000005, 20.670092887359495), (36.70694815, 22.122363134012744), (38.8351105, 20.7094392), (38.2660322, 20.53739027630735), (38.0692748, 21.87273042232539)]"
Άλλος έχει τ' όνομα κι άλλος τη χάρη,"{'Νάξος>Απείρανθος', 'Ρόδος'}",2,"{'Νάξος', 'Ρόδος'}",2,"[(37.06001045, 25.47075670857837), (36.172529749999995, 27.91940163839584)]"
Άλλος αγαπάει τον παπά κι' άλλος την παπαδιά,"{'Αρκαδία>Γορτυνία', 'Ιωάννινα'}",2,"{'Ιωάννινα', 'Αρκαδία'}",2,"[(39.6639818, 20.8522784), (37.42908855, 22.423541964571157)]"
Άλλος κάμνει κι' άλλος βρίσκει,"{'Ανατολική Θράκη', 'Θράκη'}",2,"{'Ανατολική Θράκη', 'Θράκη'}",2,"[(41.6759327, 26.5587225), (38.0105134, 23.7327576)]"
Άλλος σκάφτει και κλαδεύει κι' άλλος πίνει και μεθάει,"{'Ιθάκη', 'Κεφαλληνία', 'Ήπειρος', 'Επτάνησος'}",4,"{'Ιθάκη', 'Κεφαλληνία', 'Ήπειρος', 'Επτάνησος'}",4,"[(38.401896050000005, 20.670092887359495), (38.2660322, 20.53739027630735), (39.6501917, 20.690845557013784), (38.8351105, 20.7094392)]"
Άλλος σκάφτει και κλαδεύει κι' άλλος πίνει και χορεύει,"{'Κοζάνη>Βελβεντός', 'Μακεδονία'}",2,"{'Κοζάνη', 'Μακεδονία'}",2,"[(40.3007259, 21.7883119), (40.6186482, 22.91795361795959)]"
Άλλος χάσκει κι άλλος χάφτει,"{'Ιωάννινα', 'Κοζάνη>Βόϊο>Ζώνη', 'Ήπειρος', 'Φιλιππούπολη'}",4,"{'Ιωάννινα', 'Κοζάνη', 'Ήπειρος', 'Φιλιππούπολη'}",4,"[(39.6639818, 20.8522784), (40.3007259, 21.7883119), (39.6501917, 20.690845557013784), (39.6327644, 22.3965233)]"
Άλλος χάσκει κι' άλλος χάφτει,"{'Αρκαδία>Γορτυνία', 'Κεφαλληνία'}",2,"{'Κεφαλληνία', 'Αρκαδία'}",2,"[(38.2660322, 20.53739027630735), (37.42908855, 22.423541964571157)]"
Άλλος ψυχομαχά κι' άλλος καυλομαχά,"{'Πάρος', 'Μικρά Ασία>Κύζικος>Πάνορμος', 'Μικρά Ασία>Βουρλά'}",3,"{'Μικρά Ασία', 'Πάρος'}",2,"[(38.1846366, 23.5122768), (37.06514945, 25.19197841572938)]"
Άλλος ψυχομαχά κι' άλλος ταυρομαχά,"{'Λακωνία', 'Μάνη'}",2,"{'Λακωνία', 'Μάνη'}",2,"[(36.76027945, 22.79046431389755), (41.4097472, 26.4024952)]"
"Άλλοτε τυροπωλούσαμε, τώρα τυρί αγοράζουμε","{'Αρκαδία>Γορτυνία', 'Ήπειρος'}",2,"{'Ήπειρος', 'Αρκαδία'}",2,"[(39.6501917, 20.690845557013784), (37.42908855, 22.423541964571157)]"
Άλλους έχασκι κι' άλλους μιτάλαβι,"{'Κεφαλληνία', 'Σάμος>Μαραθόκαμπος'}",2,"{'Σάμος', 'Κεφαλληνία'}",2,"[(37.72461615, 26.81929189110984), (38.2660322, 20.53739027630735)]"
Άλλους σπέρνει στί θερίζ' τσ' άλλους τρώ' τσί μακαρίζ',"{'Δαρδανέλλια (Ελλήσποντος)', 'Λέσβος>Πέτρα'}",2,"{'Δαρδανέλλια (Ελλήσποντος)', 'Λέσβος'}",2,"[(40.20917255, 26.44139082761628), (39.17584185, 25.998913450232415)]"
Άλλους του παπά κι' άλλους τ' παπαδιά,"{'Μακεδονία', 'Θράκη>Μάδυτος', 'Θράκη'}",3,"{'Μακεδονία', 'Θράκη'}",2,"[(40.6186482, 22.91795361795959), (38.0105134, 23.7327576)]"
Άλογο κλάν' στ' φασουλλά τ' αλάν',"{'Τήνος', 'Λέσβος>Τελώνια'}",2,"{'Τήνος', 'Λέσβος'}",2,"[(37.6017133, 25.15402178217012), (39.17584185, 25.998913450232415)]"
Άμωμοι εν οδώ,"{'Λακωνία', 'Ήπειρος', 'Ιωάννινα>Νεγάδες'}",3,"{'Λακωνία', 'Ιωάννινα', 'Ήπειρος'}",3,"[(36.76027945, 22.79046431389755), (39.6639818, 20.8522784), (39.6501917, 20.690845557013784)]"
Άμωμος εν οδώ,"{'Λακωνία', 'Ήπειρος'}",2,"{'Λακωνία', 'Ήπειρος'}",2,"[(36.76027945, 22.79046431389755), (39.6501917, 20.690845557013784)]"
Άναψε και κόρωσε,"{'Πήλιο>Ζαγορά', 'Θράκη>Αίνος'}",2,"{'Πήλιο', 'Θράκη'}",2,"[(39.3650875, 23.1355607), (38.0105134, 23.7327576)]"
Άναψε το λυχναρι σου προτου να σ' εύρ' η νύχτα,"{'Πάρος', 'Εύβοια>Κύμη', 'Κεφαλληνία>Άσσος'}",3,"{'Κεφαλληνία', 'Πάρος', 'Εύβοια'}",3,"[(38.2660322, 20.53739027630735), (37.06514945, 25.19197841572938), (38.49417235, 23.91108439913793)]"
Άναψε το λυχναρι σου προτου να σ' εύρη η νύχτα,"{'Αιτωλοακαρνανία>Ναύπακτος', 'Νίσυρος'}",2,"{'Νίσυρος', 'Αιτωλοακαρνανία'}",2,"[(36.58904575, 27.169184022557516), (38.2558495, 21.7377752)]"
Άναψε το σίδηρο,"{'Πελοπόννησος', 'Λακωνία'}",2,"{'Πελοπόννησος', 'Λακωνία'}",2,"[(37.36332825, 22.239537343995497), (36.76027945, 22.79046431389755)]"
"Άνδρα θέλω, τώρα θέλω","{'Ήπειρος', 'Επτάνησος'}",2,"{'Ήπειρος', 'Επτάνησος'}",2,"[(39.6501917, 20.690845557013784), (38.8351105, 20.7094392)]"
Άνεμος και του καπνού,"{'Κάρπαθος', 'Ανάφη'}",2,"{'Κάρπαθος', 'Ανάφη'}",2,"[(35.6136611, 27.11925668821135), (36.37344365, 25.777285448243266)]"
Άνθρακες ο θησαυρός,"{'Ανατολική Θράκη', 'Κύπρος', 'Αχαΐα>Πάτρα'}",3,"{'Ανατολική Θράκη', 'Κύπρος', 'Αχαΐα'}",3,"[(41.6759327, 26.5587225), (34.9174159, 32.889902651331866), (38.0692748, 21.87273042232539)]"
Άνθρουπους αγράμματους ξύλου απιλέκητου,"{'Αδριανούπολη', 'Σέρρες'}",2,"{'Αδριανούπολη', 'Σέρρες'}",2,"[(41.7111279, 26.3579609), (41.0910711, 23.5498031)]"
"Άνθρωπο βλέπεις, καρδία δεν ξέρεις","{'Ανατολική Θράκη', 'Θεσπρωτία>Κωστάνα'}",2,"{'Ανατολική Θράκη', 'Θεσπρωτία'}",2,"[(41.6759327, 26.5587225), (39.54401235, 20.308355368968883)]"
"Άνθρωπο βλέπεις, καρδιά δε γνωρίζεις","{'Αχαΐα>Πάτρα', 'Κοζάνη>Βόϊο>Ζώνη'}",2,"{'Κοζάνη', 'Αχαΐα'}",2,"[(40.3007259, 21.7883119), (38.0692748, 21.87273042232539)]"
Άνθρωπον από γενιάν και σκύλον από μάντραν,"{'Κάρπαθος', 'Αμοργός'}",2,"{'Κάρπαθος', 'Αμοργός'}",2,"[(35.6136611, 27.11925668821135), (36.85252415, 25.898486967715655)]"
